Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,60147.96,2018.0,BRA
British Virgin Islands,VGB,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,VGB
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,293.91,2018.0,BRN
Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,3311.27,2018.0,BGR
Burkina Faso,BFA,Scientific and technical journal articles,IP.JRN.ARTC.SC,251.99,2018.0,BFA
Burundi,BDI,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.12,2018.0,BDI
Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,8.69,2018.0,CPV
Cambodia,KHM,Scientific and technical journal articles,IP.JRN.ARTC.SC,145.74,2018.0,KHM
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,875.62,2018.0,CMR
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,59967.79,2018.0,CAN
Cayman Islands,CYM,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,CYM
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,20.47,2018.0,CAF
Chad,TCD,Scientific and technical journal articles,IP.JRN.ARTC.SC,15.45,2018.0,TCD
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,7121.74,2018.0,CHL
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,528263.25,2018.0,CHN
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,7195.02,2018.0,COL
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.28,2018.0,COM
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,148.72,2018.0,COD
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,66.68,2018.0,COG
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,507.41,2018.0,CRI
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,248.14,2018.0,CIV
Croatia,HRV,Scientific and technical journal articles,IP.JRN.ARTC.SC,4276.9,2018.0,HRV
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,968.74,2018.0,CUB
Curacao,CUW,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,CUW
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,1245.42,2018.0,CYP
Czech Republic,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,15576.6,2018.0,CZE
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,13978.8,2018.0,DNK
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.16,2018.0,DJI
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,12.6,2018.0,DMA
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,49.26,2018.0,DOM
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,2142.19,2018.0,ECU
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,13326.67,2018.0,EGY
El Salvador,SLV,Scientific and technical journal articles,IP.JRN.ARTC.SC,45.44,2018.0,SLV
Equatorial Guinea,GNQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.6,2018.0,GNQ
Eritrea,ERI,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.37,2018.0,ERI
Estonia,EST,Scientific and technical journal articles,IP.JRN.ARTC.SC,1414.72,2018.0,EST
Eswatini,SWZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,34.05,2018.0,SWZ
Ethiopia,ETH,Scientific and technical journal articles,IP.JRN.ARTC.SC,1994.44,2018.0,ETH
Faroe Islands,FRO,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,FRO
Fiji,FJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,139.78,2018.0,FJI
Finland,FIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,10598.94,2018.0,FIN
France,FRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,66352.18,2018.0,FRA
French Polynesia,PYF,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,PYF
Gabon,GAB,Scientific and technical journal articles,IP.JRN.ARTC.SC,63.78,2018.0,GAB
"Gambia, The",GMB,Scientific and technical journal articles,IP.JRN.ARTC.SC,33.83,2018.0,GMB
Georgia,GEO,Scientific and technical journal articles,IP.JRN.ARTC.SC,550.41,2018.0,GEO
Germany,DEU,Scientific and technical journal articles,IP.JRN.ARTC.SC,104396.12,2018.0,DEU
Ghana,GHA,Scientific and technical journal articles,IP.JRN.ARTC.SC,1275.99,2018.0,GHA
Gibraltar,GIB,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,GIB
Greece,GRC,Scientific and technical journal articles,IP.JRN.ARTC.SC,10906.99,2018.0,GRC
Greenland,GRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.0,2018.0,GRL
Grenada,GRD,Scientific and technical journal articles,IP.JRN.ARTC.SC,46.17,2018.0,GRD
Guam,GUM,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,GUM
Guatemala,GTM,Scientific and technical journal articles,IP.JRN.ARTC.SC,99.89,2018.0,GTM
Guinea,GIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,27.84,2018.0,GIN
Guinea-Bissau,GNB,Scientific and technical journal articles,IP.JRN.ARTC.SC,15.01,2018.0,GNB
Guyana,GUY,Scientific and technical journal articles,IP.JRN.ARTC.SC,13.7,2018.0,GUY
Haiti,HTI,Scientific and technical journal articles,IP.JRN.ARTC.SC,29.18,2018.0,HTI
Honduras,HND,Scientific and technical journal articles,IP.JRN.ARTC.SC,45.1,2018.0,HND
"Hong Kong SAR, China",HKG,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,HKG
Hungary,HUN,Scientific and technical journal articles,IP.JRN.ARTC.SC,6700.92,2018.0,HUN
Iceland,ISL,Scientific and technical journal articles,IP.JRN.ARTC.SC,680.89,2018.0,ISL
India,IND,Scientific and technical journal articles,IP.JRN.ARTC.SC,135787.79,2018.0,IND
Indonesia,IDN,Scientific and technical journal articles,IP.JRN.ARTC.SC,26947.57,2018.0,IDN
"Iran, Islamic Rep.",IRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,48305.64,2018.0,IRN
Iraq,IRQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,6073.39,2018.0,IRQ
Ireland,IRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,7174.11,2018.0,IRL
Isle of Man,IMN,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,IMN
Israel,ISR,Scientific and technical journal articles,IP.JRN.ARTC.SC,12234.69,2018.0,ISR
Italy,ITA,Scientific and technical journal articles,IP.JRN.ARTC.SC,71240.28,2018.0,ITA
Jamaica,JAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,163.85,2018.0,JAM
Japan,JPN,Scientific and technical journal articles,IP.JRN.ARTC.SC,98792.5,2018.0,JPN
Jordan,JOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,2627.29,2018.0,JOR
Kazakhstan,KAZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,2367.46,2018.0,KAZ
Kenya,KEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,1246.76,2018.0,KEN
Kiribati,KIR,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.62,2018.0,KIR
"Korea, Dem. People’s Rep.",PRK,Scientific and technical journal articles,IP.JRN.ARTC.SC,87.42,2018.0,PRK
"Korea, Rep.",KOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,66376.17,2018.0,KOR
Kuwait,KWT,Scientific and technical journal articles,IP.JRN.ARTC.SC,1003.84,2018.0,KWT
Kyrgyz Republic,KGZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,137.06,2018.0,KGZ
Lao PDR,LAO,Scientific and technical journal articles,IP.JRN.ARTC.SC,86.91,2018.0,LAO
Latvia,LVA,Scientific and technical journal articles,IP.JRN.ARTC.SC,1417.73,2018.0,LVA
Lebanon,LBN,Scientific and technical journal articles,IP.JRN.ARTC.SC,1776.31,2018.0,LBN
Lesotho,LSO,Scientific and technical journal articles,IP.JRN.ARTC.SC,18.54,2018.0,LSO
Liberia,LBR,Scientific and technical journal articles,IP.JRN.ARTC.SC,25.39,2018.0,LBR
Libya,LBY,Scientific and technical journal articles,IP.JRN.ARTC.SC,161.9,2018.0,LBY
Liechtenstein,LIE,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.4,2018.0,LIE
Lithuania,LTU,Scientific and technical journal articles,IP.JRN.ARTC.SC,2267.3,2018.0,LTU
Luxembourg,LUX,Scientific and technical journal articles,IP.JRN.ARTC.SC,869.1,2018.0,LUX
"Macao SAR, China",MAC,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,MAC
Madagascar,MDG,Scientific and technical journal articles,IP.JRN.ARTC.SC,127.41,2018.0,MDG
Malawi,MWI,Scientific and technical journal articles,IP.JRN.ARTC.SC,231.21,2018.0,MWI
Malaysia,MYS,Scientific and technical journal articles,IP.JRN.ARTC.SC,23661.33,2018.0,MYS
Maldives,MDV,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.44,2018.0,MDV
Mali,MLI,Scientific and technical journal articles,IP.JRN.ARTC.SC,90.37,2018.0,MLI
Malta,MLT,Scientific and technical journal articles,IP.JRN.ARTC.SC,422.02,2018.0,MLT
Marshall Islands,MHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.31,2018.0,MHL
Mauritania,MRT,Scientific and technical journal articles,IP.JRN.ARTC.SC,20.32,2018.0,MRT
Mauritius,MUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,126.94,2018.0,MUS
Mexico,MEX,Scientific and technical journal articles,IP.JRN.ARTC.SC,16345.64,2018.0,MEX
"Micronesia, Fed. Sts.",FSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.37,2018.0,FSM
Moldova,MDA,Scientific and technical journal articles,IP.JRN.ARTC.SC,210.37,2018.0,MDA
Monaco,MCO,Scientific and technical journal articles,IP.JRN.ARTC.SC,45.12,2018.0,MCO
Mongolia,MNG,Scientific and technical journal articles,IP.JRN.ARTC.SC,140.85,2018.0,MNG
Montenegro,MNE,Scientific and technical journal articles,IP.JRN.ARTC.SC,249.51,2018.0,MNE
Morocco,MAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,5056.77,2018.0,MAR
Mozambique,MOZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,139.25,2018.0,MOZ
Myanmar,MMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,230.65,2018.0,MMR
Namibia,NAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,156.31,2018.0,NAM
Nauru,NRU,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.0,2018.0,NRU
Nepal,NPL,Scientific and technical journal articles,IP.JRN.ARTC.SC,792.11,2018.0,NPL
Netherlands,NLD,Scientific and technical journal articles,IP.JRN.ARTC.SC,30457.33,2018.0,NLD
New Caledonia,NCL,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,NCL
New Zealand,NZL,Scientific and technical journal articles,IP.JRN.ARTC.SC,7888.75,2018.0,NZL
Nicaragua,NIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,43.67,2018.0,NIC
Niger,NER,Scientific and technical journal articles,IP.JRN.ARTC.SC,55.18,2018.0,NER
Nigeria,NGA,Scientific and technical journal articles,IP.JRN.ARTC.SC,5602.28,2018.0,NGA
North Macedonia,MKD,Scientific and technical journal articles,IP.JRN.ARTC.SC,493.05,2018.0,MKD
Northern Mariana Islands,MNP,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,MNP
Norway,NOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,11802.78,2018.0,NOR
Oman,OMN,Scientific and technical journal articles,IP.JRN.ARTC.SC,856.43,2018.0,OMN
Pakistan,PAK,Scientific and technical journal articles,IP.JRN.ARTC.SC,12904.31,2018.0,PAK
Palau,PLW,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.51,2018.0,PLW
Panama,PAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,172.88,2018.0,PAN
Papua New Guinea,PNG,Scientific and technical journal articles,IP.JRN.ARTC.SC,64.12,2018.0,PNG
Paraguay,PRY,Scientific and technical journal articles,IP.JRN.ARTC.SC,97.98,2018.0,PRY
Peru,PER,Scientific and technical journal articles,IP.JRN.ARTC.SC,1629.88,2018.0,PER
Philippines,PHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,2237.34,2018.0,PHL
Poland,POL,Scientific and technical journal articles,IP.JRN.ARTC.SC,35662.64,2018.0,POL
Portugal,PRT,Scientific and technical journal articles,IP.JRN.ARTC.SC,14294.56,2018.0,PRT
Puerto Rico,PRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,515.42,2018.0,PRI
Qatar,QAT,Scientific and technical journal articles,IP.JRN.ARTC.SC,1502.58,2018.0,QAT
Romania,ROU,Scientific and technical journal articles,IP.JRN.ARTC.SC,10345.01,2018.0,ROU
Russian Federation,RUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,81579.36,2018.0,RUS
Rwanda,RWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,169.52,2018.0,RWA
Samoa,WSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.05,2018.0,WSM
San Marino,SMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,10.81,2018.0,SMR
Sao Tome and Principe,STP,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.73,2018.0,STP
Saudi Arabia,SAU,Scientific and technical journal articles,IP.JRN.ARTC.SC,10897.88,2018.0,SAU
Senegal,SEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,388.32,2018.0,SEN
Serbia,SRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,4523.42,2018.0,SRB
Seychelles,SYC,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.53,2018.0,SYC
Sierra Leone,SLE,Scientific and technical journal articles,IP.JRN.ARTC.SC,40.72,2018.0,SLE
Singapore,SGP,Scientific and technical journal articles,IP.JRN.ARTC.SC,11458.63,2018.0,SGP
Sint Maarten (Dutch part),SXM,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,SXM
Slovak Republic,SVK,Scientific and technical journal articles,IP.JRN.ARTC.SC,5321.6,2018.0,SVK
Slovenia,SVN,Scientific and technical journal articles,IP.JRN.ARTC.SC,3206.15,2018.0,SVN
Solomon Islands,SLB,Scientific and technical journal articles,IP.JRN.ARTC.SC,13.2,2018.0,SLB
Somalia,SOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.74,2018.0,SOM
South Africa,ZAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,13008.74,2018.0,ZAF
South Sudan,SSD,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.08,2018.0,SSD
Spain,ESP,Scientific and technical journal articles,IP.JRN.ARTC.SC,54536.59,2018.0,ESP
Sri Lanka,LKA,Scientific and technical journal articles,IP.JRN.ARTC.SC,1347.54,2018.0,LKA
St. Kitts and Nevis,KNA,Scientific and technical journal articles,IP.JRN.ARTC.SC,25.53,2018.0,KNA
St. Lucia,LCA,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.81,2018.0,LCA
St. Martin (French part),MAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,MAF
St. Vincent and the Grenadines,VCT,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.22,2018.0,VCT
Sudan,SDN,Scientific and technical journal articles,IP.JRN.ARTC.SC,397.77,2018.0,SDN
Suriname,SUR,Scientific and technical journal articles,IP.JRN.ARTC.SC,17.38,2018.0,SUR
Sweden,SWE,Scientific and technical journal articles,IP.JRN.ARTC.SC,20420.56,2018.0,SWE
Switzerland,CHE,Scientific and technical journal articles,IP.JRN.ARTC.SC,21378.56,2018.0,CHE
Syrian Arab Republic,SYR,Scientific and technical journal articles,IP.JRN.ARTC.SC,274.65,2018.0,SYR
Tajikistan,TJK,Scientific and technical journal articles,IP.JRN.ARTC.SC,62.4,2018.0,TJK
Tanzania,TZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,602.71,2018.0,TZA
Thailand,THA,Scientific and technical journal articles,IP.JRN.ARTC.SC,12513.75,2018.0,THA
Timor-Leste,TLS,Scientific and technical journal articles,IP.JRN.ARTC.SC,13.92,2018.0,TLS
Togo,TGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,86.06,2018.0,TGO
Tonga,TON,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.82,2018.0,TON
Trinidad and Tobago,TTO,Scientific and technical journal articles,IP.JRN.ARTC.SC,211.21,2018.0,TTO
Tunisia,TUN,Scientific and technical journal articles,IP.JRN.ARTC.SC,5564.86,2018.0,TUN
Turkey,TUR,Scientific and technical journal articles,IP.JRN.ARTC.SC,33535.8,2018.0,TUR
Turkmenistan,TKM,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.69,2018.0,TKM
Turks and Caicos Islands,TCA,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,TCA
Tuvalu,TUV,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.48,2018.0,TUV
Uganda,UGA,Scientific and technical journal articles,IP.JRN.ARTC.SC,673.07,2018.0,UGA
Ukraine,UKR,Scientific and technical journal articles,IP.JRN.ARTC.SC,10379.89,2018.0,UKR
United Arab Emirates,ARE,Scientific and technical journal articles,IP.JRN.ARTC.SC,3144.89,2018.0,ARE
United Kingdom,GBR,Scientific and technical journal articles,IP.JRN.ARTC.SC,97680.9,2018.0,GBR
United States,USA,Scientific and technical journal articles,IP.JRN.ARTC.SC,422807.71,2018.0,USA
Uruguay,URY,Scientific and technical journal articles,IP.JRN.ARTC.SC,852.23,2018.0,URY
Uzbekistan,UZB,Scientific and technical journal articles,IP.JRN.ARTC.SC,353.91,2018.0,UZB
Vanuatu,VUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.45,2018.0,VUT
"Venezuela, RB",VEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,639.03,2018.0,VEN
Vietnam,VNM,Scientific and technical journal articles,IP.JRN.ARTC.SC,4286.48,2018.0,VNM
Virgin Islands (U.S.),VIR,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,VIR
West Bank and Gaza,PSE,Scientific and technical journal articles,IP.JRN.ARTC.SC,375.95,2018.0,PSE
"Yemen, Rep.",YEM,Scientific and technical journal articles,IP.JRN.ARTC.SC,137.44,2018.0,YEM
Zambia,ZMB,Scientific and technical journal articles,IP.JRN.ARTC.SC,213.07,2018.0,ZMB
Zimbabwe,ZWE,Scientific and technical journal articles,IP.JRN.ARTC.SC,359.33,2018.0,ZWE
